High School Name,education_value,Percentage of Students Below State Standards in ELA (Assessment SBA)
Lincoln High School,-0.66942318,56.7
Stadium High School,0.71761768,39.4
Mt. Tahoma High School,-0.29903626,62.1
Dolores Silas High School,0.90512437,52.7
SAMI,0.29636297,18.9
SOTA,0.10665335,33.6
Foss High School,-0.15749734,61.4
IDEA,0.19903359,32.1
Oakland High School,-0.45795147,55.0
