High School Name,Block Group ID 
Lincoln High School,530530618001
Stadium High School,530530615001
Mt. Tahoma High School,530530628023
Dolores Silas High School,530530609061
SAMI,530530603001
SOTA,530530616021
Foss High School,530530611004
IDEA,530530632003
Oakland High School,530530620004
